MDD VerticaFare Tracking ID,Dynamic Fare Tracking ID,Histogram Fare Tracking ID,Fares Strip Fare Tracking ID,Boxever Tracking ID,Boxever ML Tracking ID,Homepage Fares Tracking ID,Boxever Offers Tracking ID,Header Checkin ID,Manage Booking Checkin ID,BPG Desktop ID,BPG Mobile ID,Complement Journey Link IID,Search Results - Manage Booking IID,New Destinationprice Discover cta IID,Content Strip Manual Fares IID,Content Strip Dynamic Fares IID
ALL60431240,ALL54330180,ALL62332760,ALL59705690,ALL21786150 (DefaultValue),ALL11101210,ALL75955700 (DefaultValue),ALL65919200 (DefaultValue),ALL50312570 (DefaultValue),ALL54261150 (Default Value),ALL29548590 (Default Value),ALL40778730,ALL96603970,,,,
